"hexcode","character","filename"
"U3042","あ","1900_753325_0060.png"
"U3042","あ","1900_754949_0023.png"
"U3042","あ","1900_758495_0075.png"
"U3042","あ","1900_761460_0029.png"
"U3042","あ","1900_766994_0030.png"
"U3042","あ","1900_776319_0015.png"
"U3042","あ","1900_780422_0014.png"
"U3042","あ","1900_789209_0070.png"
"U3042","あ","1900_796253_0052.png"
"U3042","あ","1900_808821_0042.png"
"U3042","あ","1900_818194_0142.png"
"U3042","あ","1900_839003_0061.png"
"U3042","あ","1900_870812_0018.png"
"U3042","あ","1900_874684_0050.png"
"U3042","あ","1900_874758_0056.png"
"U3042","あ","1900_875140_0064.png"
"U3042","あ","1900_876510_0031.png"
"U3042","あ","1900_877660_0044.png"
"U3042","あ","1900_890428_0053.png"
"U3042","あ","1900_890806_0066.png"
"U3042","あ","1901_752792_0090.png"
"U3042","あ","1901_759643_0034.png"
"U3042","あ","1901_763188_0010.png"
"U3042","あ","1901_774549_0042.png"
"U3042","あ","1901_792772_0057.png"
"U3042","あ","1901_799272_0044.png"
"U3042","あ","1901_800667_0033.png"
"U3042","あ","1901_817135_0048.png"
"U3042","あ","1901_824921_0061.png"
"U3042","あ","1901_825298_0023.png"
"U3042","あ","1901_832919_0107.png"
"U3042","あ","1901_846066_0055.png"
"U3042","あ","1901_849292_0015.png"
"U3042","あ","1901_885775_0048.png"
"U3042","あ","1901_886588_0048.png"
"U3042","あ","1901_886892_0050.png"
"U3042","あ","1901_899454_0052.png"
"U3042","あ","1901_987918_0090.png"
"U3042","あ","1902_1879424_0268.png"
"U3042","あ","1902_754883_0083.png"
"U3042","あ","1902_759858_0061.png"
"U3042","あ","1902_761070_0102.png"
"U3042","あ","1902_764156_0082.png"
"U3042","あ","1902_767376_0024.png"
"U3042","あ","1902_768700_0019.png"
"U3042","あ","1902_770228_0048.png"
"U3042","あ","1902_781670_0061.png"
"U3042","あ","1902_785000_0171.png"
"U3042","あ","1902_813109_0087.png"
"U3042","あ","1902_814800_0029.png"
"U3042","あ","1902_844397_0056.png"
"U3042","あ","1902_871611_0172.png"
"U3042","あ","1902_875218_0116.png"
"U3042","あ","1902_886067_0047.png"
"U3042","あ","1902_886127_0043.png"
"U3042","あ","1902_901238_0090.png"
"U3042","あ","1902_988178_0057.png"
"U3042","あ","1903_1083601_0057.png"
